fid1	iid1	fid2	iid2	total_ibd_cm	num_segments	max_segment_cm	proportion_shared	predicted_relationship
HG00641	HG00641	HG01103	HG01103	7.376	1	7.376	0.13410909090909093	third-degree
HG00641	HG00641	HG01173	HG01173	3.441	1	3.441	0.06256363636363636	unrelated
HG00641	HG00641	HG01175	HG01175	3.441	1	3.441	0.06256363636363636	unrelated
HG00641	HG00641	HG01176	HG01176	4.269	1	4.269	0.07761818181818182	unrelated
HG00641	HG00641	HG01197	HG01197	6.631	2	3.545	0.12056363636363637	third-degree
HG00641	HG00641	HG01199	HG01199	6.319	2	3.233	0.11489090909090909	third-degree
HG00641	HG00641	HG01205	HG01205	3.374	1	3.374	0.06134545454545455	unrelated
HG00641	HG00641	HG01672	HG01672	3.992	1	3.992	0.07258181818181818	unrelated
HG00642	HG00642	HG00740	HG00740	3.233	1	3.233	0.058781818181818185	unrelated
HG00642	HG00642	HG00741	HG00741	3.332	1	3.332	0.06058181818181818	unrelated
HG00642	HG00642	HG01056	HG01056	3.233	1	3.233	0.058781818181818185	unrelated
HG00642	HG00642	HG01060	HG01060	3.006	1	3.006	0.05465454545454545	unrelated
HG00642	HG00642	HG01062	HG01062	4.059	1	4.059	0.0738	unrelated
HG00642	HG00642	HG01072	HG01072	3.545	1	3.545	0.06445454545454546	unrelated
HG00642	HG00642	HG01082	HG01082	4.803	1	4.803	0.08732727272727273	unrelated
HG00642	HG00642	HG01084	HG01084	4.803	1	4.803	0.08732727272727273	unrelated
HG00642	HG00642	HG01098	HG01098	3.069	1	3.069	0.0558	unrelated
HG00642	HG00642	HG01102	HG01102	9.857	2	6.707	0.1792181818181818	third-degree
HG00642	HG00642	HG01103	HG01103	9.977	1	9.977	0.1814	third-degree
HG00642	HG00642	HG01105	HG01105	8.23	2	4.171	0.14963636363636365	third-degree
HG00642	HG00642	HG01111	HG01111	4.271	1	4.271	0.07765454545454545	unrelated
HG00642	HG00642	HG01168	HG01168	4.458	1	4.458	0.08105454545454546	unrelated
HG00642	HG00642	HG01171	HG01171	7.746	2	3.937	0.14083636363636365	third-degree
HG00642	HG00642	HG01172	HG01172	3.937	1	3.937	0.07158181818181818	unrelated
HG00642	HG00642	HG01173	HG01173	3.441	1	3.441	0.06256363636363636	unrelated
HG00642	HG00642	HG01175	HG01175	3.441	1	3.441	0.06256363636363636	unrelated
HG00642	HG00642	HG01197	HG01197	3.545	1	3.545	0.06445454545454546	unrelated
HG00642	HG00642	HG01199	HG01199	3.233	1	3.233	0.058781818181818185	unrelated
HG00642	HG00642	HG01205	HG01205	3.608	1	3.608	0.0656	unrelated
HG00642	HG00642	HG01672	HG01672	3.992	1	3.992	0.07258181818181818	unrelated
HG00650	HG00650	HG00652	HG00652	32.735	6	10.769	0.5951818181818181	full-sibling
HG00651	HG00651	HG00652	HG00652	32.842	5	8.812	0.5971272727272727	full-sibling
HG00652	HG00652	HG00707	HG00707	3.013	1	3.013	0.05478181818181818	unrelated
HG00653	HG00653	HG00655	HG00655	51.923	7	18.484	0.9440545454545455	full-sibling
HG00654	HG00654	HG00655	HG00655	46.889	7	14.581	0.8525272727272728	full-sibling
HG00656	HG00656	HG00658	HG00658	60.521	8	18.906	1.1003818181818181	full-sibling
HG00656	HG00656	HG00702	HG00702	66.21199999999999	9	18.906	1.2038545454545453	full-sibling
HG00656	HG00656	HG00703	HG00703	10.35	2	5.617	0.18818181818181817	second-degree
